# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCacheLockFree.totalNativeBytesReclaimed,1718279636208000000,1718279696231000000,0
FilePageCache.pageHits,1718279636208000000,1718279696231000000,3
MappedFileStorage.totalPagesMapped,1718279636208000000,1718279696231000000,16
FilePageCacheLockFree.nativeBytesInUse,1718279636208000000,1718279696231000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1718279636208000000,1718279696231000000,0
FilePageCache.maxCacheSizeInBytes,1718279636208000000,1718279696231000000,179322880
FilePageCacheLockFree.totalPagesWritten,1718279636208000000,1718279696231000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1718279636208000000,1718279696231000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1718279636208000000,1718279696231000000,0
FilePageCache.maxRegisteredFiles,1718279636208000000,1718279696231000000,258
StreamlinedBlobStorage.recordsRelocated,1718279636208000000,1718279696231000000,0
StreamlinedBlobStorage.recordsDeleted,1718279636208000000,1718279696231000000,16
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1718279636208000000,1718279696231000000,268424
FilePageCacheLockFree.heapBytesInUse,1718279636208000000,1718279696231000000,0
MappedFileStorage.storages,1718279636208000000,1718279696231000000,16
DirectByteBufferAllocator.hits,1718279636208000000,1718279696231000000,3
StorageLockContext.competingThreads.max,1718279636208000000,1718279696231000000,0
FilePageCacheLockFree.totalBytesRead,1718279636208000000,1718279696231000000,0
FilePageCache.uncachedFileAccess,1718279636208000000,1718279696231000000,395
DirectByteBufferAllocator.disposed,1718279636208000000,1718279696231000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1718279636208000000,1718279696231000000,0
FilePageCacheLockFree.totalPagesReadMs,1718279636208000000,1718279696231000000,0
FilePageCacheLockFree.totalPagesAllocated,1718279636208000000,1718279696231000000,0
FilePageCache.capacityInBytes,1718279636208000000,1718279696231000000,503316478
FilePageCacheLockFree.totalPagesReclaimed,1718279636208000000,1718279696231000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1718279636208000000,1718279696231000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1718279636208000000,1718279696231000000,179322880
FilePageCacheLockFree.totalHeapBytesAllocated,1718279636208000000,1718279696231000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1718279636208000000,1718279696231000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1718279636208000000,1718279696231000000,918447
FilePageCacheLockFree.totalHeapBytesReclaimed,1718279636208000000,1718279696231000000,0
FilePageCache.pageLoads,1718279636208000000,1718279696231000000,176
MappedFileStorage.totalBytesMapped,1718279636208000000,1718279696231000000,202637312
FilePageCacheLockFree.totalPagesRequested,1718279636208000000,1718279696231000000,0
StorageLockContext.competingThreads.90P,1718279636208000000,1718279696231000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1718279636208000000,1718279696231000000,12021
FilePageCacheLockFree.totalBytesRequested,1718279636208000000,1718279696231000000,0
StorageLockContext.competingThreads.avg,1718279636208000000,1718279696231000000,0.0
FilePageCache.disposedBuffers,1718279636208000000,1718279696231000000,3
FilePageCacheLockFree.totalPagesHandedOver,1718279636208000000,1718279696231000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1718279636208000000,1718279696231000000,0
FilePageCache.totalPageLoadsUs,1718279636208000000,1718279696231000000,697466
FilePageCacheLockFree.totalClosedStoragesReclaimed,1718279636208000000,1718279696231000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1718279636208000000,1718279696231000000,0
FilePageCacheLockFree.totalBytesWritten,1718279636208000000,1718279696231000000,0
FilePageCacheLockFree.totalPagesWriteMs,1718279636208000000,1718279696231000000,0
DirectByteBufferAllocator.reclaimed,1718279636208000000,1718279696231000000,3
FilePageCache.totalPageDisposalsUs,1718279636208000000,1718279696231000000,1994
FilePageCacheLockFree.housekeeperTimeSpentMs,1718279636208000000,1718279696231000000,0
StreamlinedBlobStorage.recordsAllocated,1718279636208000000,1718279696231000000,13078
FilePageCache.pageFastCacheHits,1718279636208000000,1718279696231000000,974537
DirectByteBufferAllocator.misses,1718279636208000000,1718279696231000000,173
IndexesFlusher.totalFlushesRetried,1718279636208000000,1718279696231000000,8
IndexesFlusher.totalFlushes,1718279636208000000,1718279696231000000,99
IndexesFlusher.totalContentionQuotaSpent,1718279636208000000,1718279696231000000,36
IndexesFlusher.totalFlushingTimeUs,1718279636208000000,1718279696231000000,1713339
workspaceModel.cachedValueWithParameters.clear.ms,1718279636208000000,1718279696231000000,0
workspaceModel.collect.changes.ms,1718279636208000000,1718279696231000000,0
workspaceModel.check.recursive.update.ms,1718279636208000000,1718279696231000000,1
workspaceModel.pre.handlers.ms,1718279636208000000,1718279696231000000,1
workspaceModel.updates.count,1718279636208000000,1718279696231000000,3
workspaceModel.loading.from.cache.ms,1718279636208000000,1718279696231000000,369
workspaceModel.entityStorageSnapshotImpl.instances.count,1718279636208000000,1718279696231000000,18
workspaceModel.replace.project.model.ms,1718279636208000000,1718279696231000000,0
workspaceModel.cachedValueWithParameters.total.get.ms,1718279636208000000,1718279696231000000,0
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1718279636208000000,1718279696231000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1718279636208000000,1718279696231000000,0
workspaceModel.updates.ms,1718279636208000000,1718279696231000000,60
workspaceModel.workspaceFileIndexData.init.ms,1718279636208000000,1718279696231000000,239
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1718279636208000000,1718279696231000000,345
workspaceModel.updates.precise.ms,1718279636208000000,1718279696231000000,23
workspaceModel.cachedValue.clear.ms,1718279636208000000,1718279696231000000,0
workspaceModel.cachedValue.total.get.ms,1718279636208000000,1718279696231000000,18
workspaceModel.workspaceFileIndexData.instances.count,1718279636208000000,1718279696231000000,1
workspaceModel.initializing.ms,1718279636208000000,1718279696231000000,2
workspaceModel.cachedValueWithParameters.calculated.ms,1718279636208000000,1718279696231000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1718279636208000000,1718279696231000000,554
workspaceModel.workspaceFileIndexData.getPackageName.ms,1718279636208000000,1718279696231000000,0
workspaceModel.full.replace.project.model.ms,1718279636208000000,1718279696231000000,3
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1718279636208000000,1718279696231000000,1
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1718279636208000000,1718279696231000000,0
workspaceModel.cachedValue.from.cache.ms,1718279636208000000,1718279696231000000,6
workspaceModel.init.bridges.ms,1718279636208000000,1718279696231000000,2
workspaceModel.update.unloaded.entities.ms,1718279636208000000,1718279696231000000,0
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1718279636208000000,1718279696231000000,0
workspaceModel.loading.total.ms,1718279636208000000,1718279696231000000,388
workspaceModel.cachedValue.calculated.ms,1718279636208000000,1718279696231000000,12
workspaceModel.to.snapshot.ms,1718279636208000000,1718279696231000000,0
workspaceModel.cachedValueWithParameters.from.cache.ms,1718279636208000000,1718279696231000000,0
workspaceModel.workspaceFileIndexData.markDirty.ms,1718279636208000000,1718279696231000000,0
parser.PythonStub.time.ns,1718279636208000000,1718279696231000000,298592012
writeAction.median.wait.ms,1718279636208000000,1718279696231000000,0
writeAction.wait.ms,1718279636208000000,1718279696231000000,27
lexer.PythonStub.size.bytes,1718279636208000000,1718279696231000000,218392
parser.HTML.time.ns,1718279636208000000,1718279696231000000,363148709
parser.PythonStub.size.bytes,1718279636208000000,1718279696231000000,218392
lexer.Markdown.time.ns,1718279636208000000,1718279696231000000,69053610
parser.HTML.size.bytes,1718279636208000000,1718279696231000000,140618
writeAction.count,1718279636208000000,1718279696231000000,41
lexer.Markdown.size.bytes,1718279636208000000,1718279696231000000,4478
lexer.PythonStub.time.ns,1718279636208000000,1718279696231000000,109292643
parser.Markdown.size.bytes,1718279636208000000,1718279696231000000,4478
parser.Python.time.ns,1718279636208000000,1718279696231000000,4242708883
lexer.HTML.time.ns,1718279636208000000,1718279696231000000,129765037
lexer.HTML.size.bytes,1718279636208000000,1718279696231000000,140618
lexer.Python.time.ns,1718279636208000000,1718279696231000000,1482047319
lexer.Python.size.bytes,1718279636208000000,1718279696231000000,4014949
writeAction.max.wait.ms,1718279636208000000,1718279696231000000,5
parser.Python.size.bytes,1718279636208000000,1718279696231000000,4014949
parser.Markdown.time.ns,1718279636208000000,1718279696231000000,44388775
VFS.fileChildByName,1718279636208000000,1718279696231000000,115614
VFS.fileByIdCache.hits,1718279636208000000,1718279696231000000,2
VFS.fileByIdCache.misses,1718279636208000000,1718279696231000000,0
FileNameCache.totalMisses,1718279636208000000,1718279696231000000,0
FileNameCache.queries,1718279636208000000,1718279696231000000,0
VFS.invertedFileNameIndex.requests,1718279636208000000,1718279696231000000,0
FlushQueue.waitingTimeAvgNs,1718279636208000000,1718279696231000000,0.0
NonBlockingReadAction.finalizedExecutionTimeUs,1718279636208000000,1718279696231000000,29696193
AWTEventQueue.dispatchTime90PNs,1718279636208000000,1718279696231000000,0
NonBlockingReadAction.failedExecutionTimeUs,1718279636208000000,1718279696231000000,577363
NonBlockingReadAction.finalizedExecutionsCount,1718279636208000000,1718279696231000000,8354
FlushQueue.executionTimeMaxNs,1718279636208000000,1718279696231000000,0
FlushQueue.waitingTimeMaxNs,1718279636208000000,1718279696231000000,0
FlushQueue.queueSize90P,1718279636208000000,1718279696231000000,0
FlushQueue.tasksExecuted,1718279636208000000,1718279696231000000,0
NonBlockingReadAction.failedExecutionsCount,1718279636208000000,1718279696231000000,33
AWTEventQueue.dispatchTimeTotalNS,1718279636208000000,1718279696231000000,9425527236
FlushQueue.waitingTime90PNs,1718279636208000000,1718279696231000000,0
FlushQueue.executionTimeAvgNs,1718279636208000000,1718279696231000000,0.0
WriteAction.executionsCount,1718279636208000000,1718279696231000000,41
ReadAction.executionsCount,1718279636208000000,1718279696231000000,92381
FlushQueue.executionTime90PNs,1718279636208000000,1718279696231000000,0
AWTEventQueue.eventsDispatched,1718279636208000000,1718279696231000000,0
FlushQueue.queueSizeMax,1718279636208000000,1718279696231000000,0
FlushQueue.queueSizeAvg,1718279636208000000,1718279696231000000,0.0
AWTEventQueue.dispatchTimeAvgNs,1718279636208000000,1718279696231000000,0.0
AWTEventQueue.dispatchTimeMaxNs,1718279636208000000,1718279696231000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1718279636208000000,1718279696231000000,159
